Num;Age;Gender;Education;Work?;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9
126;24-26;male;Master of Science;No;3;1;1;9;1;9;10;1;2
127;20-23;female;Master of Science;No;10;1;4;6;4;3;5;6;6
128;20-23;male;Bachelor's degree;Yes, part-time;7;8;6;7;2;6;6;6;4
129;20-23;female;Master of Science;No;5;8;5;5;5;5;5;5;5
130;20-23;female;Master of Science;No;7;2;5;6;3;4;6;6;4
131;20-23;female;Master of Science;No;8;4;8;5;4;4;4;5;5
132;20-23;female;Bachelor's degree;No;10;4;9;3;4;2;10;4;1
133;20-23;female;Master of Science;No;10;3;4;2;1;1;10;6;7
134;20-23;female;Master of Science;No;10;1;2;1;1;1;1;1;4
135;20-23;female;Master of Science;No;3;1;1;1;1;1;1;4;4
136;20-23;male;Master of Science;No;5;2;2;2;1;1;4;6;1
137;20-23;female;Master of Science;No;5;1;5;4;1;1;5;4;3
138;20-23;male;Master of Science;No;8;8;8;8;8;8;8;8;8
139;20-23;female;Master of Science;No;7;4;5;4;1;1;6;5;5
140;20-23;female;Master of Science;No;5;5;5;8;5;8;8;5;5
141;20-23;female;Master of Science;No;6;8;5;7;6;5;7;6;6
142;20-23;female;Master of Science;No;3;3;4;5;3;4;8;5;3
143;20-23;female;Master of Science;No;1;1;1;1;1;1;1;5;8
144;20-23;female;Master of Science;No;4;1;1;5;1;6;8;1;2
145;20-23;female;Bachelor's degree;No;4;4;4;4;4;4;8;8;5
146;18-20;female;Bachelor's degree;No;5;3;6;5;4;4;4;4;5
147;"&lt;18";female;Master of Science;No;6;7;6;7;6;7;6;7;5
148;18-20;female;Bachelor's degree;No;7;1;7;3;1;1;4;7;7
149;20-23;female;Bachelor's degree;No;5;3;4;6;5;6;7;6;7
150;20-23;female;Bachelor's degree;No;10;10;10;10;10;10;10;10;10
151;20-23;female;Bachelor's degree;No;3;2;6;5;2;1;7;5;5
152;20-23;male;Master of Science;No;10;3;5;4;4;4;10;4;8
153;20-23;female;Bachelor's degree;No;4;5;6;6;7;7;7;7;8
154;20-23;female;Bachelor's degree;No;6;5;6;6;5;5;6;7;6
155;20-23;female;Bachelor's degree;No;8;1;7;3;1;1;6;4;4
156;20-23;female;Bachelor's degree;No;1;1;1;1;1;1;1;1;1
157;20-23;male;Master of Science;No;3;3;1;2;2;3;3;1;5
158;24-26;prefer not to say;Master of Science;No;4;2;5;1;1;1;6;2;3
159;20-23;female;Master of Science;No;4;5;5;5;6;6;6;5;7
160;24-26;female;Master of Science;No;6;3;8;3;3;3;7;4;4
161;24-26;male;Master of Science;Yes, part-time;6;2;5;8;4;3;9;5;4
162;24-26;female;Master of Science;Yes, part-time;6;3;6;3;3;3;6;5;5
163;24-26;female;Master of Science;No;2;2;1;3;1;6;10;1;6
164;20-23;male;Bachelor's degree;No;3;1;1;1;1;1;1;1;7
165;20-23;male;Master of Science;No;7;1;4;8;3;1;10;3;3
166;24-26;female;Master of Science;No;6;8;6;8;6;5;6;5;9
167;20-23;female;Master of Science;Yes, part-time;8;4;10;6;6;6;8;7;3
168;24-26;female;Master of Science;No;6;3;3;5;4;1;6;5;2
169;20-23;female;Master of Science;No;6;3;7;3;2;2;6;2;5
170;>30;male;Master of Science;No;9;6;5;5;5;3;7;7;5
171;20-23;female;Master of Science;No;8;4;4;3;2;2;9;5;5
172;20-23;female;Master of Science;No;4;4;8;7;6;8;10;5;4
173;20-23;female;Doctor of Philosophy;Yes, part-time;7;4;5;7;5;7;7;4;3
174;20-23;female;Master of Science;No;7;3;3;7;3;3;7;3;7
175;20-23;female;Master of Science;No;3;1;3;4;1;1;3;4;4
176;24-26;female;Master of Science;Yes, part-time;7;9;8;7;2;8;10;9;8
177;20-23;female;Bachelor's degree;No;8;4;6;2;2;4;4;2;7
178;24-26;male;Master of Science;Yes, full-time;7;2;2;9;3;9;10;3;6
179;20-23;male;Bachelor's degree;Yes, part-time;8;1;8;5;2;2;8;1;1
