resp_id,rating,operating_system,RAM,storage,screen_size,battery,price,nationality,Age,Gender,Education,Work
16,7,Linux,8,1000,15.6,4,500,italy,24-26,male,Not a student,"Yes, full-time"
16,8,Linux,8,526,14,8,1000,italy,24-26,male,Not a student,"Yes, full-time"
16,6,Windows,4,256,13.3,4,500,italy,24-26,male,Not a student,"Yes, full-time"
16,8,MacOS,4,1000,14,8,500,italy,24-26,male,Not a student,"Yes, full-time"
16,8,Windows,8,256,15.6,12,1000,italy,24-26,male,Not a student,"Yes, full-time"
16,8,MacOS,16,256,13.3,8,1000,italy,24-26,male,Not a student,"Yes, full-time"
16,8,MacOS,16,1000,15.6,12,1500,italy,24-26,male,Not a student,"Yes, full-time"
16,6,Linux,16,526,13.3,4,1500,italy,24-26,male,Not a student,"Yes, full-time"
16,5,Windows,4,526,14,12,1500,italy,24-26,male,Not a student,"Yes, full-time"
17,8,MacOS,4,1000,14,8,500,italy,20-23,female,Master of Science,No
17,7,Linux,8,526,14,8,1000,italy,20-23,female,Master of Science,No
17,8,Windows,8,256,15.6,12,1000,italy,20-23,female,Master of Science,No
17,7,Windows,4,256,13.3,4,500,italy,20-23,female,Master of Science,No
17,6,Linux,8,1000,15.6,4,500,italy,20-23,female,Master of Science,No
17,7,MacOS,16,256,13.3,8,1000,italy,20-23,female,Master of Science,No
17,6,Windows,4,526,14,12,1500,italy,20-23,female,Master of Science,No
17,6,Linux,16,526,13.3,4,1500,italy,20-23,female,Master of Science,No
17,7,MacOS,16,1000,15.6,12,1500,italy,20-23,female,Master of Science,No
18,7,MacOS,4,1000,14,8,500,italy,20-23,male,Master of Science,No
18,4,Windows,4,256,13.3,4,500,italy,20-23,male,Master of Science,No
18,7,Linux,8,1000,15.6,4,500,italy,20-23,male,Master of Science,No
18,8,Windows,8,256,15.6,12,1000,italy,20-23,male,Master of Science,No
18,4,Windows,4,526,14,12,1500,italy,20-23,male,Master of Science,No
18,6,Linux,16,526,13.3,4,1500,italy,20-23,male,Master of Science,No
18,7,MacOS,16,256,13.3,8,1000,italy,20-23,male,Master of Science,No
18,8,Linux,8,526,14,8,1000,italy,20-23,male,Master of Science,No
18,8,MacOS,16,1000,15.6,12,1500,italy,20-23,male,Master of Science,No
19,6,Linux,8,1000,15.6,4,500,italy,20-23,female,Bachelor's degree,No
19,7,Windows,4,256,13.3,4,500,italy,20-23,female,Bachelor's degree,No
19,7,MacOS,4,1000,14,8,500,italy,20-23,female,Bachelor's degree,No
19,8,Windows,8,256,15.6,12,1000,italy,20-23,female,Bachelor's degree,No
19,8,MacOS,16,256,13.3,8,1000,italy,20-23,female,Bachelor's degree,No
19,8,MacOS,16,1000,15.6,12,1500,italy,20-23,female,Bachelor's degree,No
19,5,Linux,16,526,13.3,4,1500,italy,20-23,female,Bachelor's degree,No
19,5,Linux,8,526,14,8,1000,italy,20-23,female,Bachelor's degree,No
19,6,Windows,4,526,14,12,1500,italy,20-23,female,Bachelor's degree,No
20,8,Windows,8,256,15.6,12,1000,italy,24-26,male,Not a student,"Yes, full-time"
20,5,Windows,4,256,13.3,4,500,italy,24-26,male,Not a student,"Yes, full-time"
20,6,MacOS,4,1000,14,8,500,italy,24-26,male,Not a student,"Yes, full-time"
20,6,Linux,8,1000,15.6,4,500,italy,24-26,male,Not a student,"Yes, full-time"
20,7,MacOS,16,256,13.3,8,1000,italy,24-26,male,Not a student,"Yes, full-time"
20,5,Linux,16,526,13.3,4,1500,italy,24-26,male,Not a student,"Yes, full-time"
20,7,Linux,8,526,14,8,1000,italy,24-26,male,Not a student,"Yes, full-time"
20,6,Windows,4,526,14,12,1500,italy,24-26,male,Not a student,"Yes, full-time"
20,7,MacOS,16,1000,15.6,12,1500,italy,24-26,male,Not a student,"Yes, full-time"
21,9,Windows,8,256,15.6,12,1000,italy,20-23,male,Master of Science,No
21,5,Linux,8,1000,15.6,4,500,italy,20-23,male,Master of Science,No
21,6,Linux,8,526,14,8,1000,italy,20-23,male,Master of Science,No
21,7,MacOS,16,256,13.3,8,1000,italy,20-23,male,Master of Science,No
21,8,MacOS,4,1000,14,8,500,italy,20-23,male,Master of Science,No
21,4,Linux,16,526,13.3,4,1500,italy,20-23,male,Master of Science,No
21,5,Windows,4,526,14,12,1500,italy,20-23,male,Master of Science,No
21,7,Windows,4,256,13.3,4,500,italy,20-23,male,Master of Science,No
21,6,MacOS,16,1000,15.6,12,1500,italy,20-23,male,Master of Science,No
22,8,Linux,8,1000,15.6,4,500,italy,20-23,male,Master of Science,"Yes, part-time"
22,7,MacOS,4,1000,14,8,500,italy,20-23,male,Master of Science,"Yes, part-time"
22,5,Linux,16,526,13.3,4,1500,italy,20-23,male,Master of Science,"Yes, part-time"
22,8,Windows,8,256,15.6,12,1000,italy,20-23,male,Master of Science,"Yes, part-time"
22,5,Windows,4,256,13.3,4,500,italy,20-23,male,Master of Science,"Yes, part-time"
22,7,Linux,8,526,14,8,1000,italy,20-23,male,Master of Science,"Yes, part-time"
22,6,MacOS,16,256,13.3,8,1000,italy,20-23,male,Master of Science,"Yes, part-time"
22,6,MacOS,16,1000,15.6,12,1500,italy,20-23,male,Master of Science,"Yes, part-time"
22,5,Windows,4,526,14,12,1500,italy,20-23,male,Master of Science,"Yes, part-time"
23,6,Windows,4,256,13.3,4,500,italy,20-23,female,Master of Science,No
23,7,MacOS,4,1000,14,8,500,italy,20-23,female,Master of Science,No
23,5,Linux,8,526,14,8,1000,italy,20-23,female,Master of Science,No
23,7,Windows,4,526,14,12,1500,italy,20-23,female,Master of Science,No
23,8,MacOS,16,256,13.3,8,1000,italy,20-23,female,Master of Science,No
23,5,Linux,16,526,13.3,4,1500,italy,20-23,female,Master of Science,No
23,5,Linux,8,1000,15.6,4,500,italy,20-23,female,Master of Science,No
23,7,Windows,8,256,15.6,12,1000,italy,20-23,female,Master of Science,No
23,8,MacOS,16,1000,15.6,12,1500,italy,20-23,female,Master of Science,No
24,4,Windows,4,526,14,12,1500,italy,20-23,male,Bachelor's degree,No
24,5,Linux,16,526,13.3,4,1500,italy,20-23,male,Bachelor's degree,No
24,6,Linux,8,1000,15.6,4,500,italy,20-23,male,Bachelor's degree,No
24,8,Windows,8,256,15.6,12,1000,italy,20-23,male,Bachelor's degree,No
24,5,Windows,4,256,13.3,4,500,italy,20-23,male,Bachelor's degree,No
24,9,MacOS,4,1000,14,8,500,italy,20-23,male,Bachelor's degree,No
24,7,Linux,8,526,14,8,1000,italy,20-23,male,Bachelor's degree,No
24,7,MacOS,16,256,13.3,8,1000,italy,20-23,male,Bachelor's degree,No
24,7,MacOS,16,1000,15.6,12,1500,italy,20-23,male,Bachelor's degree,No
25,7,Linux,8,1000,15.6,4,500,italy,20-23,male,Not a student,"Yes, full-time"
25,7,MacOS,16,256,13.3,8,1000,italy,20-23,male,Not a student,"Yes, full-time"
25,6,MacOS,4,1000,14,8,500,italy,20-23,male,Not a student,"Yes, full-time"
25,8,Linux,8,526,14,8,1000,italy,20-23,male,Not a student,"Yes, full-time"
25,4,Windows,4,526,14,12,1500,italy,20-23,male,Not a student,"Yes, full-time"
25,5,Windows,4,256,13.3,4,500,italy,20-23,male,Not a student,"Yes, full-time"
25,4,Linux,16,526,13.3,4,1500,italy,20-23,male,Not a student,"Yes, full-time"
25,8,Windows,8,256,15.6,12,1000,italy,20-23,male,Not a student,"Yes, full-time"
25,7,MacOS,16,1000,15.6,12,1500,italy,20-23,male,Not a student,"Yes, full-time"
26,5,Linux,8,1000,15.6,4,500,italy,20-23,female,Master of Science,No
26,7,Linux,8,526,14,8,1000,italy,20-23,female,Master of Science,No
26,8,MacOS,4,1000,14,8,500,italy,20-23,female,Master of Science,No
